ID,Century,Location,Result for the United States and its Allies,Presidents of the United States,GDP Impact Notes,War Description,Start Year,End Year,Declared War?,Outcome,Cold War Proxy?
0,18th Century,Eastern and Southern North America,US-allied victory:The American Revolution started as a civil war within the British Empire. It became a larger international war in 1778 once France joined. Treaty of Paris (1783). Britain recognizes the independence of the United States of America and theThirteen Colonies.,"President of the Continental Congress in American Revolutionary War:John Hancock, Henry Laurens, John Jay, Samuel Huntington, Thomas McKean, John Hanson, Elias Boudinot, Thomas Mifflin, Richard Henry Lee, John Hancock, Nathaniel Gorham, Arthur St. Clair, Cyrus Griffin",War debt caused severe economic disruption; led to first federal financial crisis,"The colonial rebellion against British rule that founded the United States. Thirteen colonies united to fight for independence after years of taxation disputes and political oppression, ultimately defeating Britain with French assistance and securing nationhood via the 1783 Treaty of Paris.",1775,1783,Yes,Victory,No
1,18th Century,Old Southwest,US-allied victory,"President of the Continental Congress in Cherokee-American wars:John Hancock, Henry Laurens, John Jay, Samuel Huntington, Thomas McKean, John Hanson, Elias Boudinot, Thomas Mifflin, Richard Henry Lee, John Hancock, Nathaniel Gorham, Arthur St. Clair, Cyrus Griffin, Presidents of the United States:George Washington",Localized frontier conflict; minor economic disruption,"A series of frontier conflicts between American settlers and the Cherokee Nation spanning the Revolutionary War era through the early republic. Rooted in colonial land encroachment, the wars resulted in significant Cherokee territorial losses and forced relocations across the Southeast.",1776,1794,No,Victory,No
2,18th Century,Northwest Territory,US-allied victory: Treaty of Greenville (1795). American occupation of the Northwest Territory,George Washington,Frontier conflict; modest cost relative to young nation's budget,"A military campaign by the newly formed US Army against a confederation of Native tribes in the Ohio Valley and Great Lakes region. After two early devastating defeats, General Anthony Wayne's decisive victory at the Battle of Fallen Timbers ended the conflict and opened the Northwest Territory to settlement.",1785,1795,No,Victory,No
3,18th Century,Mediterranean Sea and Atlantic Ocean,"Algerian victory: Establishment of theAmerican navy through the Naval Act of 1794. America pay an annual tribute of $21,600. $1 million offered to the Dey",George Washington,Primarily tribute and ransom costs; led to creation of US Navy,"A prolonged diplomatic and naval standoff with the Barbary State of Algiers, which captured American merchant ships and enslaved their crews. The US paid tributes for years before building a navy capable of confronting the threat, eventually securing the release of American captives.",1785,1796,No,Stalemate,No
4,18th Century,"Atlantic Ocean, the Caribbean, the Indian Ocean and the Mediterranean",Convention of 1800: Peaceful cessation of Franco-American alliance. End of French privateer attacks on American shipping. American neutrality and renunciation of claims by France,John Adams,Naval conflict; contributed to naval buildup spending,"An undeclared naval war between the United States and France, triggered by French seizure of American merchant ships following the Jay Treaty. Fought entirely at sea, it ended with the Convention of 1800 and reinforced the need for a permanent US Navy.",1798,1800,No,Victory,No
5,19th Century,"Mediterranean Sea, off the coast ofTripoli",US-allied victory,Thomas Jefferson,Naval expedition; modest direct cost,"The first overseas war fought by the United States, launched after the Pasha of Tripoli declared war over tribute disputes. A combination of naval blockades and a daring land march across the Libyan desert secured a peace treaty and established American willingness to project naval power abroad.",1801,1805,Yes,Victory,No
6,19th Century,Northwest River Ohio,US victory,James Madison,Regional frontier conflict; part of broader War of 1812 buildup,"A conflict between the United States and a Native American confederation led by Shawnee chief Tecumseh, who sought to unite tribes against American expansion. General William Henry Harrison's victory at the Battle of Tippecanoe crippled the alliance before Tecumseh was killed in the War of 1812.",1811,1813,No,Victory,No
7,19th Century,Eastern and Central North America,Inconclusive/Other Result: Treaty of Ghent. Military stalemate; both sides' invasion attempts repulsed. Status quo ante bellum. Defeat ofTecumseh's Confederacy. Burning of Washington including the White House and the Capitol,James Madison,British blockade severely damaged US trade and commerce,"A complex conflict between the United States and Britain involving trade restrictions, impressment of American sailors, and British support of Native resistance. Marked by the burning of Washington D.C. and the Battle of New Orleans, the war ended in a stalemate but was celebrated as a second American independence.",1812,1815,Yes,Stalemate,No
8,19th Century,Southern United States,US-allied victory:Treaty of Fort Jackson,James Madison,Part of broader War of 1812 theater,"An intra-tribal civil war within the Creek Nation that drew in US forces, fought largely in present-day Alabama. Andrew Jackson's forces decisively defeated the Red Stick Creek faction at the Battle of Horseshoe Bend, leading to massive Creek land cessions and setting the stage for Indian Removal.",1813,1814,No,Victory,No
9,19th Century,Mediterranean Sea and the Barbary States,US victory,James Madison,Short naval operation; minimal economic impact,"A brief but decisive US naval campaign against Algiers after it resumed attacking American ships during the War of 1812. Commodore Stephen Decatur forced the Dey of Algiers to sign a treaty renouncing tribute, effectively ending Barbary piracy against American vessels.",1815,1815,Yes,Victory,No
